domain,sector,source,productsCounted,variantsCounted,pagesCounted,cappedAtMaxPages,productsEndpointStatus,contactUrl,leadGrade,sampleProduct,angle,notes,error
kith.com,apparel,prepared merchant pipeline,1000,11835,4,yes,200,https://kith.com/pages/contact,A,Abra Double Shoe Ballerina Flats - Aqua,High-variant apparel catalog,Existing public probe capped at max pages,
mnml.la,apparel,public Shopify examples,1000,9090,4,yes,200,https://mnml.la/pages/contact-us,A,Dice Bracelet Jewelry - Silver,Apparel variant margin checks,Use only if public contact route is appropriate,
gymshark.com,apparel,prepared merchant pipeline,1000,6365,4,yes,200,https://gymshark.com/contact,A,Gymshark x Bratz Light Support Sports Bra - Dayglow Peach,Large apparel variant catalog,Existing public probe capped at max pages,
chubbiesshorts.com,apparel,public Shopify examples,1000,6100,4,yes,200,https://chubbiesshorts.com/pages/support,A,"The Bloomerangs 7"" (Lined Classic Swim Trunk)",Apparel variant catalog and inventory exposure,Use only if public contact route is appropriate,
fashionnova.com,apparel,prepared merchant pipeline,1000,5402,4,yes,200,https://fashionnova.com/pages/contact,A,Sleepy Babe Bows PJ Short Set - Soft Pink,Massive apparel variant catalog,Existing public probe capped at max pages,
aloyoga.com,apparel,public Shopify examples,1000,4739,4,yes,200,https://aloyoga.com/pages/contact-us,A,Match Point Tennis Skirt - Pink Wild Rose,Apparel variant catalog and inventory exposure,Use only if public contact route is appropriate,
tentree.com,apparel,public Shopify examples,1000,4433,4,yes,200,https://tentree.com/pages/contact,A,InMotion Apex Hat,Apparel catalog and inventory exposure,Use only if public contact route is appropriate,
goodamerican.com,apparel,public Shopify Plus examples,940,12597,4,no,200,https://goodamerican.com/pages/contact,B,THE LOW RISE TROUSER | ASH,High-variant apparel catalog,Use only if public contact route is appropriate,
decathlon.com,sporting goods,prepared merchant pipeline,501,2667,3,no,200,https://decathlon.com/pages/contact-us,B,28L Sports Bag with Waterproof Pocket,Large catalog and inventory-heavy operations,Existing public probe found product depth,
polyandbark.com,furniture,prepared merchant pipeline,900,2550,4,no,200,https://polyandbark.com/pages/contact,B,"Nervan Reversible Chaise Sectional (105.5"") | Lume Green",Furniture inventory and supplier-cost exposure,Already sent after approval on 2026-06-25,
by39tk-uv.myshopify.com,automotive equipment,public search result,1000,1476,4,yes,200,https://by39tk-uv.myshopify.com/pages/contact,B,"Big Ass Fans Bandit 42"" Floor Fan",Garage equipment and lift catalog supplier-cost risk,Public result describes automotive equipment resource,
colourpop.com,beauty,prepared merchant pipeline,1000,1000,4,yes,200,https://colourpop.com/pages/contact-us,B,Holo Bestie,Frequent launches and SKU-level margin cleanup,Draft prepared but not sent,
