domain,sector,source,productsCounted,variantsCounted,pagesCounted,cappedAtMaxPages,productsEndpointStatus,contactUrl,leadGrade,sampleProduct,angle,notes,error
kith.com,apparel,public Shopify examples,2000,20628,8,yes,200,https://kith.com/pages/contact,A,Abra Double Shoe Ballerina Flats - Aqua,High-variant apparel catalog,Public products endpoint showed >=250 products during spot check,
gymshark.com,apparel,public Shopify examples,2000,12603,8,yes,200,https://gymshark.com/contact,A,Gymshark x Bratz Light Support Sports Bra - Dayglow Peach,Large apparel variant catalog,Public products endpoint showed >=250 products during spot check,
fashionnova.com,apparel,vervaunt large-catalog Shopify Plus examples,2000,11100,8,yes,200,https://fashionnova.com/pages/contact,A,Virgo Af Baby Tee - Chocolate/Combo,Large variant catalog with pricing and supplier-cost exposure,Public products endpoint showed >=250 products during spot check,
bulbamerica.com,lighting,vervaunt large-catalog Shopify Plus examples,2000,2000,8,yes,200,https://bulbamerica.com/pages/contact-us,A,Nicor TACS3 Series Selectable 2x2 Architectural LED Troffer,Commodity catalog with supplier price and margin pressure,Public products endpoint showed >=250 products during spot check,
decathlon.com,sporting goods,vervaunt large-catalog Shopify Plus examples,501,2667,3,no,200,https://decathlon.com/pages/contact-us,B,28L Sports Bag with Waterproof Pocket,Large catalog and inventory-heavy product operations,Public products endpoint showed >=250 products during spot check,
polyandbark.com,furniture,public Shopify examples,900,2550,4,no,200,https://polyandbark.com/pages/contact,B,"Nervan Reversible Chaise Sectional (105.5"") | Lume Green",Furniture catalog with supplier-cost and inventory risk,Public products endpoint showed >=250 products during spot check,
colourpop.com,beauty,public Shopify examples,1054,1054,5,no,200,https://colourpop.com/pages/contact-us,B,Holo Bestie,Beauty catalog with frequent launches and cost/margin review need,Public products endpoint showed >=250 products during spot check,
allbirds.com,apparel,public Shopify examples,481,4826,2,no,200,https://allbirds.com/pages/contact-us,C,Women's Tree Dasher Relay - Natural Black (Twilight Teal Sole),Footwear variant catalog with inventory exposure,Public products endpoint showed >=250 products during spot check,
chassisunlimited.com,auto parts,fyresite automotive Shopify examples,289,815,2,no,200,https://chassisunlimited.com/pages/contact-us,C,2025+ TOYOTA 4RUNNER RTS FRONT WINCH BUMPER,Auto parts catalog with make/model fitment and supplier cost risk,Public products endpoint showed >=250 products during spot check,
deathwishcoffee.com,food and beverage,public Shopify examples,133,390,1,no,200,,D,(SOLD OUT) Declaration of Caffeination Mystery Mug,Smaller but multi-SKU consumable catalog,Public products endpoint showed product data during spot check,
beardbrand.com,beauty,public Shopify examples,71,85,1,no,200,https://beardbrand.com/pages/contact,D,Short Game Men's Cologne,Smaller grooming catalog for lower-priority comparison,Public products endpoint showed product data during spot check,
bravenewlook.com,apparel,vervaunt large-catalog Shopify Plus examples,0,0,0,no,401,https://bravenewlook.com/pages/contact,D,,Large catalog example but endpoint restricted,Products endpoint returned restricted response during spot check,
